IP Address,Response,Country,City,Address,PostalCode
16.217.207.105,YES,US,Palo Alto,3000 Hanover Street,94304
146.206.75.99,YES,No result,No result,No result,No result
9.79.5.192,YES,US,Research Triangle Park,3039 Cornwallis Road,27709-2195
35.133.252.167,YES,US,Greenwood Village,6399 S Fiddlers Green Circle,80111
65.25.35.196,YES,US,Greenwood Village,6399 S. Fiddler's Green Circle,80111
86.79.168.234,YES,NL,Amsterdam,P.O. Box 10096,1001EB
217.238.172.7,YES,NL,Amsterdam,P.O. Box 10096,1001EB
207.83.107.60,YES,US,Monroe,100 CenturyLink Drive,71203
170.104.203.96,YES,US,Salem,530 Airport Rd,97301
47.233.129.28,YES,US,Greenwood Village,6399 S Fiddlers Green Circle,80111
235.164.228.209,YES,US,Los Angeles,12025 Waterfront Drive,90292
203.159.29.177,YES,AU,South Brisbane,PO Box 3646,4101
53.122.135.243,YES,NL,Amsterdam,P.O. Box 10096,1001EB
195.119.226.174,YES,NL,Amsterdam,P.O. Box 10096,1001EB
78.126.15.214,YES,NL,Amsterdam,P.O. Box 10096,1001EB
73.112.62.183,YES,No result,No result,No result,No result
215.231.20.113,YES,US,Columbus,3990 E. Broad Street,43218
246.186.238.81,YES,US,Los Angeles,12025 Waterfront Drive,90292
165.9.30.199,YES,MU,Ebene,Level 11ABC,No result
128.222.70.9,YES,US,Southboro,32 Coslin Drive,01772
